PUBLICATION_DATE,UID,SITE_ID,DATE_COL,YEAR,VISIT_NO,STUDY,PSTL_CODE,INDEX_NCCA15,NCCA_REG,LAB,BATCH_ID,ANALYTE,DATE_ANALYZED,DATE_RECEIVED,LAB_SAMPLE_ID,LRL,MDL,METHOD,NARS_FLAG,NARS_COMMENT,RESULT,RESULT_UNITS,SAMPLE_ID
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/6/2015,1520010,,0.0012,,,,0.005703,MG P/L,776442
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/6/2015,1520010,,0.003,,,,19.969,MG/L,776442
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/6/2015,1520010,,0.002,,,,12.982,MG/L,776442
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150606.3,COND,6/6/2015,6/6/2015,1520010,,,,,,291,US/CM AT 25 C,776440
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.273,MG/L,
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/6/2015,1520010,,,,,,0.003,MG N/L,776442
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/6/2015,1520010,,0.002,,,,0.476,MG/L,776440
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/6/2015,1520011,,,,,,0.002,MG N/L,776462
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150606.3,COND,6/6/2015,6/6/2015,1520011,,,,,,280,US/CM AT 25 C,776460
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/6/2015,1520011,,0.0012,,,,0.004709,MG P/L,776462
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/6/2015,1520011,,,,,,0.253,MG N/L,776462
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/6/2015,1520011,,0.003,,,,21.998,MG/L,776462
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/6/2015,1520011,,0.002,,,,0.44,MG/L,776460
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/6/2015,1520011,,0.003,,,,0.004,MG N/L,776462
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/6/2015,1520011,,0.002,,,,12.298,MG/L,776462
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150612.1,CHLA,6/12/2015,6/6/2015,1520011,,0.09,,,,0.51,UG/L,776461
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/6/2015,1520011,,9.00E-04,,,,3.90E-03,MG/L,776460
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150606.3,PH,6/6/2015,6/6/2015,1520011,,,,,,8.01,STD. UNITS,776460
4/29/2021,167630,GLBA15-3205,5-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.259,MG/L,
4/29/2021,167661,GLNS15-1156,7-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/9/2015,1520012,,0.003,,,,26.707,MG/L,776242
4/29/2021,167661,GLNS15-1156,7-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/9/2015,1520012,,0.003,,,,0.04,MG N/L,776242
